编号	名称	规格	分组	单位	别名/土名	整理提示/依据
REVIEW-MAT-00789	六角螺栓组件	规格: M22*100；成套: 是	紧固件/螺栓	套	22*100螺丝	强度等级/材质/是否含螺母垫片需确认
REVIEW-MAT-00790	双联重型管卡	适配管径: 40；用途: 注浆管；型式: 重型卡槽两联	管道紧固/管卡	个	40注浆管重型卡槽两联	材质/表面处理缺失
REVIEW-MAT-00791	卡槽导轨	适配管径: 40；用途: 注浆管	管道紧固/导轨	条	40注浆管卡槽导轨	长度/材质/孔距缺失
REVIEW-MAT-00792	多功能打印机	品牌: 惠普	行政后勤/办公设备	台	惠普多功能打印机	型号/功能配置缺失
REVIEW-MAT-00793	办公桌	品类: 办公桌	行政后勤/办公家具	个	办公桌	状态：可合并；尺寸/材质/款式缺失
REVIEW-MAT-00794	办公椅	品牌: 得力；类型: 多功能椅	行政后勤/办公家具	个	得力多功能椅子	型号/材质缺失
REVIEW-MAT-00795	胶枪	适用材料: 聚氨酯胶	工具/施胶工具	个	聚氨酯胶枪	容量/结构类型缺失
REVIEW-MAT-00796	定制钢板	定制: 是；尺寸: 400*1000*30mm；材质: 钢板	定制件/金属加工件	块	定做加工400*1000*30钢板	状态：可建档-定制件；材质牌号/图纸/加工要求缺失
REVIEW-MAT-00797	U型卸扣	额定载荷: 10T；型式: U型	吊装索具/卸扣	个	10吨U型卸扣	销轴形式/标准缺失
REVIEW-MAT-00798	二氧化碳减压表	适用气体: 二氧化碳	焊割耗材/气体表具	个	二氧化碳表	状态：可建档 | 可合并；压力范围/接口规格缺失 | 与1448同类，压力范围/接口缺失
REVIEW-MAT-00799	氧气减压表	适用气体: 氧气	焊割耗材/气体表具	个	氧气表	状态：可建档 | 可合并；压力范围/接口规格缺失 | 与1449同类，压力范围/接口缺失
REVIEW-MAT-00800	石笔	品类: 石笔	工具耗材/划线耗材	个	石笔	状态：可合并；包装规格需确认
REVIEW-MAT-00801	记号笔	品类: 记号笔	办公耗材/书写用品	个	记号笔	状态：可合并；颜色/粗细缺失 | 与1452同类，单位支/个需统一
REVIEW-MAT-00802	油漆笔	品类: 油漆笔	工具耗材/标记用品	个	油漆笔	状态：可合并；颜色/规格缺失
REVIEW-MAT-00803	透明钢丝软管	公称直径: 50；特征: 加厚、透明、钢丝增强	管材/软管	米	50加厚透明钢丝管	材质/压力等级缺失
REVIEW-MAT-00804	焊工手套	特征: 加长；用途: 焊工	劳保耗材/手套	双	加长焊工手套	材质/长度缺失
REVIEW-MAT-00805	全胶手套	类型: 全胶	劳保耗材/手套	双	全胶手套	材质/尺码缺失
REVIEW-MAT-00806	油布	特征: 加厚	劳保耗材/覆盖防护	平方	加厚油布 | 油布加厚	状态：可合并；材质/克重/颜色缺失 | 与1458同类，材质/克重/颜色缺失 | 与1458同类，材质/克重缺失 | 与油布同类，材质/克重缺失
REVIEW-MAT-00807	花纹钢板	厚度: 3.0mm；表面: 花纹	钢材/板材	平方	3.0花纹钢板	材质/宽长/理论重量单位需确认
REVIEW-MAT-00808	冲孔不锈钢板	尺寸: 250*250*3mm；材质: 不锈钢；加工: 冲孔	定制件/金属加工件	块	250*250*3不锈钢加工冲孔	状态：可建档-定制件；孔径/孔距/材质牌号/图纸缺失
REVIEW-MAT-00809	木方垫板	尺寸: 200*200*1500mm；加工: 是；用途: 垫板	定制件/木制加工件	根	加工200*200*1500木方垫板	状态：可建档-定制件；木材种类/防腐要求缺失
REVIEW-MAT-00810	麻袋	尺寸: 70*100	包装材料/袋类	个	70*100麻袋	材质/克重缺失
REVIEW-MAT-00811	棉布	形态: 大块	清洁耗材/擦拭材料	kg	大块棉布	状态：可合并；材质含量/包装规格缺失 | 与1464同类，材质含量/包装缺失 | 与1464同类，单位KG/kg统一 | 与1464同类，材质含量缺失
REVIEW-MAT-00812	吸油棉	尺寸: 40*50*5；用途: 吸油	清洁耗材/吸附材料	个	40*50*5吸油棉	单位是否片，材质/包装数量缺失
REVIEW-MAT-00813	一次性雨衣	类型: 一次性；特征: 加厚	劳保耗材/雨具	件	一次性加厚雨衣	尺码/材质缺失
REVIEW-MAT-00814	快硬水泥	类型: 快速/快硬	建筑材料/水泥砂石	包	快速水泥	强度等级/包装重量缺失
REVIEW-MAT-00815	雨衣套装	特征: 加厚；套装: 是	劳保耗材/雨具	套	加厚雨衣套装	尺码/材质缺失
REVIEW-MAT-00816	高压油管	公称直径: 50	液压/高压管路	米	50高压油管 | 50高压管	状态：可建档 | 可合并；压力等级/接头形式/层数缺失 | 与1469同类，压力等级/接头形式缺失 | 与50高压油管同类，压力等级/层数缺失 | 与1606同类，压力等级/层数缺失
REVIEW-MAT-00817	高压油管接头	公称直径: 50；类型: 接头	液压/高压管路	个	50高压接头	螺纹/连接形式/压力等级缺失
REVIEW-MAT-00818	高压外接头	公称直径: 50；连接类型: 外接	液压/高压管路	个	50高压外接	螺纹规格/压力等级缺失
REVIEW-MAT-00819	明矾	化学品: 明矾	化工原料/无机盐	kg	明矾	纯度/包装/用途缺失
REVIEW-MAT-00820	橡胶垫块	尺寸: 260*330*5mm；加工: 是	定制件/橡胶加工件	块	加工260*330*5橡胶垫块	状态：可建档-定制件；橡胶材质/硬度/图纸缺失
REVIEW-MAT-00821	气源分配器	定制: 是；材质: 不锈钢；接口: 2寸	定制件/气动管路件	套	定做不锈钢2寸气源分配器	状态：可建档-定制件；出口数量/接口规格/压力等级/图纸缺失
REVIEW-MAT-00822	镀锌三通	公称直径: 50；材质/表面: 镀锌	管件/镀锌管件	个	50镀锌三通	螺纹/焊接/沟槽连接需确认
REVIEW-MAT-00823	镀锌外丝接头	规格: 50*40；连接: 外丝；表面: 镀锌	管件/镀锌管件	个	50*40镀锌外丝	变径形式/螺纹标准缺失
REVIEW-MAT-00824	镀锌直通	公称直径: 50；表面: 镀锌	管件/镀锌管件	个	50镀锌直通	连接形式/螺纹标准缺失
REVIEW-MAT-00825	镀锌外接头	公称直径: 50；连接: 外接；表面: 镀锌	管件/镀锌管件	个	50镀锌外接	螺纹标准缺失
REVIEW-MAT-00826	堵头	定制: 是；规格: 300	定制件/管路接头	套	定做300堵头	状态：可建档-定制件；材质/连接方式/压力等级/图纸缺失
REVIEW-MAT-00827	无缝钢管	外径: 89mm；壁厚: 6mm	钢材/钢管	米	89*6无缝管	材质/执行标准缺失
REVIEW-MAT-00828	消防卡箍	规格: 89；用途: 消防	管道紧固/卡箍	个	89消防卡箍	沟槽标准/压力等级/材质缺失
REVIEW-MAT-00829	加厚卡槽	加工: 是；规格: 89；特征: 加厚卡槽	定制件/管路接头	个	加工89加厚卡槽	状态：可建档-定制件 | 可合并；材质/图纸/沟槽尺寸缺失 | 与1483同类，材质/图纸缺失
REVIEW-MAT-00830	无缝钢管	外径: 325mm；壁厚: 14mm	钢材/钢管	米	325*14无缝管	材质/执行标准缺失
REVIEW-MAT-00831	水泥	品类: 水泥	建筑材料/水泥砂石	包	水泥	状态：可合并；强度等级/包装重量缺失 | 与1485同类，强度等级/包装重量缺失
REVIEW-MAT-00832	膨胀螺丝	规格: 6厘	紧固件/膨胀件	个	6厘膨胀螺丝	状态：可建档 | 可合并；长度/材质缺失 | 与1487同类，长度/材质缺失
REVIEW-MAT-00833	扁钢	规格: 80*6mm	钢材/型材	米	80*6扁铁	材质/执行标准缺失
REVIEW-MAT-00834	焊接弯头	规格: 325；连接: 焊接	管件/弯头	个	325焊接弯头	角度/壁厚/材质缺失
REVIEW-MAT-00835	焊接弯头	规格: 325；角度: 45度；连接: 焊接	管件/弯头	个	325*45焊接弯头	壁厚/材质缺失
REVIEW-MAT-00836	焊接弯头	规格: 89；连接: 焊接	管件/弯头	个	89焊接弯头	角度/壁厚/材质缺失
REVIEW-MAT-00837	法兰	规格: 325	管件/法兰	个	325法兰	压力等级/材质/标准缺失
REVIEW-MAT-00838	槽钢	规格: 10#；执行标准: 国标	钢材/型材	米	10#国标槽钢	状态：可建档 | 可合并；材质缺失 | 与1495同类，材质缺失
REVIEW-MAT-00839	工字钢	规格: 20#	钢材/型材	米	20工字钢	材质/执行标准缺失
REVIEW-MAT-00840	明装插座	安装方式: 明装	电气材料/插头插座	个	明装插座	位数/电流/品牌缺失
REVIEW-MAT-00841	电箱门锁	规格/型号: 325；用途: 电箱门	电气材料/配电箱附件	个	325电箱门锁	锁芯型号/开孔尺寸缺失
REVIEW-MAT-00842	电焊手套	特征: 双层、加厚；用途: 电焊	劳保耗材/手套	双	双层电焊手套厚	材质/长度缺失
REVIEW-MAT-00843	伸缩梯	定制: 是；长度: 8米；厚度: 5.2mm	定制件/工具治具	台	定做8米*5.2mm厚伸缩梯	状态：可建档-定制件；材质/承重/节数/图纸缺失
REVIEW-MAT-00844	尼龙绳	材质: 尼龙	吊装索具/绳索	米	尼龙绳	直径/编织结构/承载缺失
REVIEW-MAT-00845	螺丝组件	规格: M8*25；成套: 是	紧固件/螺丝	套	8*25螺丝 | M8*25螺丝	状态：可建档 | 可合并；材质/强度等级/头型缺失 | 与1507同类，头型/材质缺失
REVIEW-MAT-00846	双联重型管卡	规格: 40*2；型式: 双联重型	管道紧固/管卡	套	双联重型管卡40*2	材质/表面处理缺失
REVIEW-MAT-00847	不锈钢卡槽	材质: 不锈钢	管道紧固/卡槽导轨	米	不锈钢卡槽	截面规格/厚度/孔距缺失
REVIEW-MAT-00848	润滑油	品牌: 摩力克；型号: D321R	化工耗材/润滑剂	支	D321R摩力克润滑油	容量/包装规格缺失
REVIEW-MAT-00849	镀锌异径接头	规格: 100*50；表面: 镀锌；类型: 大小头	管件/镀锌管件	个	100*50镀锌大小头	连接形式/螺纹标准缺失
REVIEW-MAT-00850	安全防护网	特征: 加厚	安全防护/防护网	平方	厚安全防护网	材质/网孔/颜色/克重缺失
REVIEW-MAT-00851	定制接头	加工: 是；规格: 50*150	定制件/管路接头	个	加工50*150接头	状态：可建档-定制件；材质/连接方式/图纸缺失
REVIEW-MAT-00852	液压快速接头	型号: GR6-25S；类型: 快速接头	液压/高压管路	套	GR6-25S液压快速接头	压力等级/螺纹接口缺失
REVIEW-MAT-00853	减速带	尺寸: 60cm*55；款式: 大二线	安全防护/交通设施	根	60cm*55减速带大二线	材质/厚度/颜色缺失
REVIEW-MAT-00854	高压接头	型号/规格: 36/25S	液压/高压管路	个	36/25s高压接头	螺纹/压力等级/连接形式缺失
REVIEW-MAT-00855	高压接头	型号/规格: 33/25S	液压/高压管路	个	33/25s高压接头	螺纹/压力等级/连接形式缺失
REVIEW-MAT-00856	高压接头	型号/规格: 36/28S	液压/高压管路	个	36/28s高压接头	螺纹/压力等级/连接形式缺失
REVIEW-MAT-00857	高压弯头	型号/规格: 36*2S；类型: 弯头	液压/高压管路	个	36*2s高压弯头	角度/螺纹/压力等级缺失
REVIEW-MAT-00858	法兰电动蝶阀	公称直径: DN50；连接: 法兰；驱动: 电动	阀门/电动阀门	个	50法兰电动蝶阀	电压/压力等级/材质缺失
REVIEW-MAT-00859	法兰电动蝶阀	公称直径: DN80；连接: 法兰；驱动: 电动	阀门/电动阀门	个	80法兰电动蝶阀	电压/压力等级/材质缺失
REVIEW-MAT-00860	波纹管	公称直径: 20	管材/波纹管	米	20波纹管	状态：可建档 | 可合并；材质/用途/耐压缺失 | 与1526同类，材质/用途缺失
REVIEW-MAT-00861	防锈润滑剂	品牌/型号: WD-40；功能: 除锈润滑	化工耗材/润滑剂	支	WD40除锈润滑剂	状态：可合并；与WD-40同类，容量缺失
REVIEW-MAT-00862	管钳	长度: 300mm	工具/手动工具	个	300管钳	品牌/材质缺失
REVIEW-MAT-00863	管钳	长度: 350mm	工具/手动工具	个	350管钳	品牌/材质缺失
REVIEW-MAT-00864	管钳	长度: 400mm	工具/手动工具	个	400管钳	品牌/材质缺失
REVIEW-MAT-00865	内六角扳手套装	品牌: 世达；类型: 六角扳手套装	工具/手动工具	套	世达六角扳手	规格范围/型号缺失
REVIEW-MAT-00866	气动电磁阀	类型: 电磁阀；用途: 气动	气动元件/阀	个	气动电磁阀	电压/口径/位通数/型号缺失
REVIEW-MAT-00867	气源处理双联件	型号系列: AFC；类型: 双联件	气动元件/气源处理	个	AFC双联件	口径/规格型号缺失
REVIEW-MAT-00868	电线	品牌: 起帆；截面积: 16mm2	电气材料/电线电缆	米	16㎡起帆电线 | 起帆16平方电线	状态：可建档 | 可合并；芯数/颜色/导体材质缺失 | 与1535同类，芯数/颜色缺失
REVIEW-MAT-00869	花纹钢板	厚度: 5mm；表面: 花纹	钢材/板材	平方	5mm花纹钢板	状态：可建档 | 可合并；材质/宽长缺失 | 与1538同类，材质/宽长缺失
REVIEW-MAT-00870	高强度螺丝	规格: M5*95；强度等级: 12.9	紧固件/螺丝	套	M5*95 12.9螺丝	头型/材质/是否含螺母垫片需确认
REVIEW-MAT-00871	开口/梅花扳手	规格: 42号	工具/手动工具	支	42号扳手	类型开口/梅花/两用需确认
REVIEW-MAT-00872	开口/梅花扳手	规格: 12号	工具/手动工具	支	12号扳手	类型开口/梅花/两用需确认
REVIEW-MAT-00873	开口/梅花扳手	规格: 19号	工具/手动工具	支	19号扳手	类型开口/梅花/两用需确认
REVIEW-MAT-00874	电动扳手套筒	规格: 12号；适用: 电动扳手	工具/套筒	支	12号电动扳手套筒	方榫规格/长度缺失
REVIEW-MAT-00875	电动扳手套筒	规格: 42号；适用: 电动扳手	工具/套筒	个	42号电动扳手套筒	方榫规格/长度缺失
REVIEW-MAT-00876	扁平吊装带	额定载荷: 5T；长度: 8米；颜色: 彩色	吊装索具/吊带	根	5T*8米彩色吊带	状态：可合并；与吊带同类，材质/安全系数缺失
REVIEW-MAT-00877	螺纹钢筋	直径: 22mm	钢材/钢筋	条	22钢筋	材质/长度/执行标准缺失
REVIEW-MAT-00878	卸扣	额定载荷: 2T	吊装索具/卸扣	个	2T卸扣	状态：可建档 | 可合并；型式/销轴形式缺失 | 与1549同类，型式缺失
REVIEW-MAT-00879	卸扣	额定载荷: 4T	吊装索具/卸扣	个	4T卸扣	状态：可建档 | 可合并；型式/销轴形式缺失 | 与1550同类，型式缺失
REVIEW-MAT-00880	卸扣	额定载荷: 6T	吊装索具/卸扣	个	6T卸扣	状态：可建档 | 可合并；型式/销轴形式缺失 | 与1551同类，型式缺失
REVIEW-MAT-00881	木方垫	加工: 是；规格: 100*100	定制件/木制加工件	米	加工100*100木方垫	状态：可建档-定制件；长度/木材种类/用途缺失
REVIEW-MAT-00882	润滑脂	俗称: 黄油	化工耗材/润滑脂	桶	黄油	型号/稠度/包装重量缺失
REVIEW-MAT-00883	防锈润滑剂	品牌/型号: WD-40；功能: 除锈	化工耗材/润滑剂	支	WD-40除锈剂	状态：可合并；与WD-40同类，容量缺失
REVIEW-MAT-00884	电缆线	芯数: 3；截面积: 1.5mm2	电气材料/电线电缆	米	3*1.5电缆线	护套类型/导体材质/电压等级缺失
REVIEW-MAT-00885	活动扳手	长度: 450mm	工具/手动工具	支	450活动扳手	品牌/材质缺失
REVIEW-MAT-00886	高压外丝接头	螺纹: M36*2A；类型: 外丝	液压/高压管路	个	M36*2A高压外丝	压力等级/适配管径缺失
REVIEW-MAT-00887	吸油棉	用途: 吸油	清洁耗材/吸附材料	张	吸油棉	状态：可合并；与1465同类，尺寸/克重缺失
REVIEW-MAT-00888	螺丝取出器	类型: 螺丝取出器	工具/拆卸工具	套	螺丝取出器	规格范围/件数缺失
REVIEW-MAT-00889	螺杆	规格: M20*70	紧固件/螺杆	套	20*70螺杆	材质/强度等级/是否含配件需确认
REVIEW-MAT-00890	螺杆	规格: M20*50	紧固件/螺杆	套	20*50螺杆	材质/强度等级/是否含配件需确认
REVIEW-MAT-00891	螺母	规格: M20	紧固件/螺母	个	20螺母 | M20螺母	状态：可建档 | 可合并；材质/强度等级缺失 | 与1567同类，材质/强度等级缺失
REVIEW-MAT-00892	螺杆	规格: M16*60	紧固件/螺杆	个	16*60螺杆	材质/强度等级缺失
REVIEW-MAT-00893	螺母	规格: M16	紧固件/螺母	个	16螺母	状态：可合并；与1406同类，材质/强度等级缺失
REVIEW-MAT-00894	焊接异径接头	规格: 273*168；类型: 大小头；连接: 焊接	管件/焊接管件	个	273*168焊接大小头	材质/壁厚/标准缺失
REVIEW-MAT-00895	法兰	规格: DN273	管件/法兰	个	273法兰盘	压力等级/材质/标准缺失
REVIEW-MAT-00896	焊接弯头	规格: 168；连接: 焊接	管件/弯头	个	168焊接弯头	角度/壁厚/材质缺失
REVIEW-MAT-00897	传动皮带	型号: BLI1753	备品备件/传动件	条	Bli1753皮带	型号大小写/皮带类型需确认
REVIEW-MAT-00898	焊接接头	加工: 是；规格: 168；连接: 焊接	定制件/管路接头	个	加工168焊接接头	状态：可建档-定制件；材质/图纸/壁厚缺失
REVIEW-MAT-00899	不锈钢控制箱	定制: 是；材质: 不锈钢	定制件/电气箱柜	套	定做不锈钢控制箱	状态：可建档-定制件；尺寸/厚度/IP等级/图纸缺失
REVIEW-MAT-00900	镀锌活接	公称直径: 50；表面: 镀锌；类型: 活接	管件/镀锌管件	个	50镀锌活接	螺纹标准/材质缺失
REVIEW-MAT-00901	螺丝组件	规格: M6*25；成套: 是	紧固件/螺丝	套	M6*25螺丝	头型/强度等级/材质缺失
REVIEW-MAT-00902	胶手套	类型: 胶手套	劳保耗材/手套	双	胶手套	状态：可合并；材质/尺码缺失 | 与1585同类，尺码缺失
REVIEW-MAT-00903	砂纸	粒度: 细	工具耗材/磨料磨具	张	细砂纸	具体目数/尺寸缺失
REVIEW-MAT-00904	焊接卡扣	加工: 是；规格: 168；连接: 焊接	定制件/管路接头	个	加工168焊接卡扣	状态：可建档-定制件；材质/图纸/用途缺失
REVIEW-MAT-00905	膨胀螺丝	规格: M14*100	紧固件/膨胀件	套	14*100膨胀螺丝	材质/类型缺失
REVIEW-MAT-00906	异径接头	规格: 80*50；类型: 大小头	管件/管接头	个	80*50大小头	材质/连接方式缺失
REVIEW-MAT-00907	膨胀螺丝	规格: M10*80	紧固件/膨胀件	套	10*80膨胀螺丝	材质/类型缺失
REVIEW-MAT-00908	定制电箱罩	尺寸: 2.3*1.3*0.7；定制: 是；特征: 加厚	定制件/电气箱柜	套	2.3*1.3*0.7定做加厚电箱罩	状态：可建档-定制件；单位米? 材质/厚度/IP等级/图纸缺失
REVIEW-MAT-00909	定制电箱罩	尺寸: 1.8*1.6*0.6；定制: 是；特征: 加厚	定制件/电气箱柜	套	1.8*1.6*0.6定做加厚电箱罩	状态：可建档-定制件；单位米? 材质/厚度/IP等级/图纸缺失
REVIEW-MAT-00910	不锈钢增压泵	功率: 3kW；材质: 不锈钢；类型: 增压泵	设备备件/泵	台	3千瓦不锈钢增压泵	流量/扬程/电压/接口缺失
